contrast,estimate,SE,df,t.ratio,p.value,DV
Q655 - Q656,-0.0025911286780860854,0.07099470426603076,702,-0.03649749238163779,0.999999999796787,Comp4
Q655 - Q657,-0.07548309178744012,0.062548295743736,702,-1.2067969381084136,0.8915676454091095,Comp4
Q656 - Q657,-0.07289196310935403,0.06694288283551067,702,-1.0888680024202304,0.9313711215607037,Comp4
Q651 - Q652,-0.3288690476190476,0.30618017069489356,702,-1.0741030252633943,0.9355536042367063,Comp5
Q651 - Q653,0.12615740740740738,0.2524231626977457,702,0.4997853844279325,0.9988576940834177,Comp5
Q651 - Q654,0.030070754716981268,0.2419949529095466,702,0.1242619085870819,0.9999996863211829,Comp5
Q651 - Q655,-0.031249999999999663,0.2436725809885901,702,-0.12824586120119497,0.9999996211787974,Comp5
Q651 - Q656,-0.07670454545454547,0.24687367163487625,702,-0.3107036280806434,0.9999272572665057,Comp5
Q651 - Q657,-0.12092391304347831,0.24048718151499673,702,-0.5028289336741115,0.9988176161791062,Comp5
Q652 - Q653,0.455026455026455,0.22594033407675815,702,2.0139230867555944,0.4066654040355544,Comp5
Q652 - Q654,0.3589398023360289,0.21422683942512566,702,1.675512756941372,0.6327175221002379,Comp5
Q652 - Q655,0.29761904761904795,0.21612012451880933,702,1.3771001117165542,0.814019253778764,Comp5
Q652 - Q656,0.25216450216450215,0.21972298751580152,702,1.14764734002339,0.9129678830390886,Comp5
Q652 - Q657,0.2079451345755693,0.21252215406731503,702,0.9784633300380722,0.9585581612219762,Comp5
Q653 - Q654,-0.09608665269042611,0.12595354250538887,702,-0.7628737610640454,0.9882790408286926,Comp5
Q653 - Q655,-0.15740740740740705,0.12914745201359515,702,-1.2188193026900525,0.8868621472458842,Comp5
Q653 - Q656,-0.20286195286195285,0.13509014539353817,702,-1.5016783960886642,0.7438831188969263,Comp5
Q653 - Q657,-0.2470813204508857,0.1230317930820721,702,-2.008272124312312,0.41024960646541964,Comp5
Q654 - Q655,-0.06132075471698093,0.1073460224179982,702,-0.5712438461688131,0.9975739923449114,Comp5
Q654 - Q656,-0.10677530017152674,0.114426620809184,702,-0.9331333864134947,0.9671381751973933,Comp5
Q654 - Q657,-0.15099466776045958,0.09990458586246838,702,-1.5113887561510273,0.7380210798780454,Comp5
Q655 - Q656,-0.0454545454545458,0.11793312105492604,702,-0.38542646075970344,0.9997436464815654,Comp5
Q655 - Q657,-0.08967391304347865,0.10390233764597588,702,-0.8630596296016223,0.9777805330184658,Comp5
Q656 - Q657,-0.04421936758893284,0.1112024225866586,702,-0.39764752026398764,0.9996927344229862,Comp5
Q651 - Q652,0.03968253968253989,0.17740636754320732,702,0.22368159740870183,0.999989564326831,Comp6
Q651 - Q653,0.10082304526749003,0.14625857800111922,702,0.6893479113869034,0.9931791233070769,Comp6
Q651 - Q654,0.0723270440251573,0.14021628331461433,702,0.5158248551123795,0.9986335610351944,Comp6
Q651 - Q655,-0.007246376811593694,0.14118833157925578,702,-0.05132419039547864,0.9999999984296701,Comp6
Q651 - Q656,-0.13030303030303003,0.1430431018030926,702,-0.9109354359667058,0.9708389516970531,Comp6
Q651 - Q657,-0.15036231884057974,0.13934265310666988,702,-1.0790832203078125,0.9341623295153598,Comp6
Q652 - Q653,0.06114050558495014,0.13091394475052107,702,0.467028212322712,0.9992239100267647,Comp6
Q652 - Q654,0.03264450434261741,0.12412693260448088,702,0.26299291908417766,0.9999727705661894,Comp6
Q652 - Q655,-0.04692891649413358,0.12522393647129504,702,-0.3747599525821571,0.9997822443937974,Comp6
Q652 - Q656,-0.1699855699855699,0.12731150091285107,702,-1.3351941400952507,0.8352137733899474,Comp6
Q652 - Q657,-0.19004485852311964,0.12313920685971134,702,-1.5433334627502662,0.7183922611939079,Comp6
Q653 - Q654,-0.02849600124233273,0.07297977659482918,702,-0.39046435289241144,0.9997235673256623,Comp6
Q653 - Q655,-0.10806942207908372,0.07483038593646817,702,-1.4441916973518736,0.7774815436658871,Comp6
Q653 - Q656,-0.23112607557052006,0.07827369071863624,702,-2.952793888323591,0.0505896997707882,Comp6
Q653 - Q657,-0.2511853641080698,0.07128686176338962,702,-3.5235856635376477,0.00820860052342931,Comp6
Q654 - Q655,-0.079573420836751,0.06219824054630189,702,-1.2793516366032025,0.8613589657011994,Comp6
Q654 - Q656,-0.20263007432818733,0.06630086821732858,702,-3.056220525860736,0.037447008900640455,Comp6
Q654 - Q657,-0.22268936286573704,0.057886536670692955,702,-3.8469975174465945,0.0024885559449989714,Comp6
Q655 - Q656,-0.12305665349143634,0.06833259832569788,702,-1.8008484457872334,0.5478987759054098,Comp6
Q655 - Q657,-0.14311594202898603,0.06020290686750164,702,-2.377226440975095,0.20978669132254124,Comp6
Q656 - Q657,-0.020059288537549708,0.06443270904294662,702,-0.3113215141114042,0.999926403191394,Comp6
